instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,recency,frequency,monetary
1,2011-01-01,springer,2011,January,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.344167,0.363625,0.805833,0.160446,331,654,985,730,1,644190
2,2011-01-02,springer,2011,January,non holiday,sunday,weekend/holiday,"Mist, Cloudy",0.363478,0.353739,0.696087,0.248539,131,670,801,729,1,536670
3,2011-01-03,springer,2011,January,non holiday,monday,working day,"Clear, Partly cloudy",0.196364,0.189405,0.437273,0.248309,120,1229,1349,728,1,1657921
4,2011-01-04,springer,2011,January,non holiday,tuesday,working day,"Clear, Partly cloudy",0.2,0.212122,0.590435,0.160296,108,1454,1562,727,1,2271148
5,2011-01-05,springer,2011,January,non holiday,wednesday,working day,"Clear, Partly cloudy",0.226957,0.22927,0.436957,0.1869,82,1518,1600,726,1,2428800
6,2011-01-06,springer,2011,January,non holiday,thursday,working day,"Clear, Partly cloudy",0.204348,0.233209,0.518261,0.0895652,88,1518,1606,725,1,2437908
7,2011-01-07,springer,2011,January,non holiday,friday,working day,"Mist, Cloudy",0.196522,0.208839,0.498696,0.168726,148,1362,1510,724,1,2056620
8,2011-01-08,springer,2011,January,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.165,0.162254,0.535833,0.266804,68,891,959,723,1,854469
9,2011-01-09,springer,2011,January,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.138333,0.116175,0.434167,0.36195,54,768,822,722,1,631296
10,2011-01-10,springer,2011,January,non holiday,monday,working day,"Clear, Partly cloudy",0.150833,0.150888,0.482917,0.223267,41,1280,1321,721,1,1690880
11,2011-01-11,springer,2011,January,non holiday,tuesday,working day,"Mist, Cloudy",0.169091,0.191464,0.686364,0.122132,43,1220,1263,720,1,1540860
12,2011-01-12,springer,2011,January,non holiday,wednesday,working day,"Clear, Partly cloudy",0.172727,0.160473,0.599545,0.304627,25,1137,1162,719,2,1321194
13,2011-01-13,springer,2011,January,non holiday,thursday,working day,"Clear, Partly cloudy",0.165,0.150883,0.470417,0.301,38,1368,1406,718,1,1923408
14,2011-01-14,springer,2011,January,non holiday,friday,working day,"Clear, Partly cloudy",0.16087,0.188413,0.537826,0.126548,54,1367,1421,717,1,1942507
15,2011-01-15,springer,2011,January,non holiday,saturday,weekend/holiday,"Mist, Cloudy",0.233333,0.248112,0.49875,0.157963,222,1026,1248,716,1,1280448
16,2011-01-16,springer,2011,January,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.231667,0.234217,0.48375,0.188433,251,953,1204,715,1,1147412
17,2011-01-17,springer,2011,January,holiday,monday,weekend/holiday,"Mist, Cloudy",0.175833,0.176771,0.5375,0.194017,117,883,1000,714,1,883000
18,2011-01-18,springer,2011,January,non holiday,tuesday,working day,"Mist, Cloudy",0.216667,0.232333,0.861667,0.146775,9,674,683,713,1,460342
19,2011-01-19,springer,2011,January,non holiday,wednesday,working day,"Mist, Cloudy",0.292174,0.298422,0.741739,0.208317,78,1572,1650,712,1,2593800
20,2011-01-20,springer,2011,January,non holiday,thursday,working day,"Mist, Cloudy",0.261667,0.25505,0.538333,0.195904,83,1844,1927,711,1,3553388
21,2011-01-21,springer,2011,January,non holiday,friday,working day,"Clear, Partly cloudy",0.1775,0.157833,0.457083,0.353242,75,1468,1543,710,1,2265124
22,2011-01-22,springer,2011,January,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.0591304,0.0790696,0.4,0.17197,93,888,981,709,1,871128
23,2011-01-23,springer,2011,January,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.0965217,0.0988391,0.436522,0.2466,150,836,986,708,1,824296
24,2011-01-24,springer,2011,January,non holiday,monday,working day,"Clear, Partly cloudy",0.0973913,0.11793,0.491739,0.15833,86,1330,1416,707,1,1883280
25,2011-01-25,springer,2011,January,non holiday,tuesday,working day,"Mist, Cloudy",0.223478,0.234526,0.616957,0.129796,186,1799,1985,706,1,3571015
26,2011-01-26,springer,2011,January,non holiday,wednesday,working day,"Light Snow, Light Rain",0.2175,0.2036,0.8625,0.29385,34,472,506,705,1,238832
27,2011-01-27,springer,2011,January,non holiday,thursday,working day,"Clear, Partly cloudy",0.195,0.2197,0.6875,0.113837,15,416,431,704,1,179296
28,2011-01-28,springer,2011,January,non holiday,friday,working day,"Mist, Cloudy",0.203478,0.223317,0.793043,0.1233,38,1129,1167,703,1,1317543
29,2011-01-29,springer,2011,January,non holiday,saturday,weekend/holiday,"Clear, Partly cloudy",0.196522,0.212126,0.651739,0.145365,123,975,1098,702,1,1070550
30,2011-01-30,springer,2011,January,non holiday,sunday,weekend/holiday,"Clear, Partly cloudy",0.216522,0.250322,0.722174,0.0739826,140,956,1096,701,2,1047776
